decaimiento (us);evento;evento restado
40006;1707959469;999
40005;1707959470;1000
40004;1707959471;1001
40006;1707959472;1002
40004;1707959473;1003
40003;1707959474;1004
40005;1707959475;1005
40005;1707959476;1006
40004;1707959477;1007
40001;1707959478;1008
40004;1707959479;1009
40002;1707959480;1010
40009;1707959481;1011
40002;1707959482;1012
40004;1707959483;1013
40007;1707959484;1014
40009;1707959485;1015
40003;1707959486;1016
40006;1707959487;1017
5580;1707959488;1018
40006;1707959488;1018
40004;1707959489;1019
40006;1707959490;1020
40003;1707959491;1021
40003;1707959492;1022
40005;1707959493;1023
40004;1707959494;1024
40002;1707959495;1025
40002;1707959496;1026
40003;1707959497;1027
40004;1707959498;1028
40002;1707959499;1029
40005;1707959500;1030
40001;1707959501;1031
40002;1707959502;1032
40006;1707959503;1033
40005;1707959504;1034
40005;1707959505;1035
40003;1707959506;1036
40007;1707959507;1037
40000;1707959508;1038
40005;1707959509;1039
40003;1707959510;1040
40005;1707959511;1041
40006;1707959512;1042
40006;1707959513;1043
40006;1707959514;1044
40003;1707959515;1045
40002;1707959516;1046
40006;1707959517;1047
40003;1707959518;1048
5860;1707959519;1049
40009;1707959519;1049
40007;1707959520;1050
40004;1707959521;1051
40004;1707959522;1052
40005;1707959523;1053
40003;1707959524;1054
40005;1707959525;1055
40003;1707959526;1056
40009;1707959527;1057
4420;1707959528;1058
40004;1707959528;1058
40006;1707959529;1059
760;1707959529;1059
40012;1707959530;1060
40004;1707959531;1061
40006;1707959532;1062
40006;1707959533;1063
40011;1707959534;1064
40003;1707959535;1065
40004;1707959536;1066
40006;1707959537;1067
40008;1707959538;1068
40002;1707959539;1069
40010;1707959540;1070
40005;1707959541;1071
40008;1707959542;1072
40008;1707959543;1073
40006;1707959544;1074
40008;1707959545;1075
40004;1707959546;1076
40007;1707959547;1077
40003;1707959548;1078
40010;1707959549;1079
40003;1707959550;1080
40006;1707959551;1081
40006;1707959552;1082
40007;1707959553;1083
4060;1707959554;1084
40006;1707959554;1084
40013;1707959555;1085
40011;1707959556;1086
40007;1707959557;1087
40008;1707959558;1088
40008;1707959559;1089
40004;1707959560;1090
40006;1707959561;1091
40014;1707959562;1092
40008;1707959563;1093
40006;1707959564;1094
40010;1707959565;1095
40012;1707959566;1096
40006;1707959567;1097
40009;1707959568;1098
40011;1707959569;1099
40010;1707959570;1100
40010;1707959571;1101
40009;1707959572;1102
40011;1707959573;1103
